"checkings","credit_history","amount","duration","savings","property","purpose","other_installment_plans","employment_duration","foreign_worker","housing","personal_status_sex","other_debtors","credit_risk"
"4","2",2051,18,"1","1","furniture_equipment","3","2","2","2","3","1","0"
"4","4",3331,12,"1","2","car_used","2","5","2","2","3","1","0"
"1","0",3104,18,"1","2","travel","1","4","2","2","3","1","0"
"4","2",1311,24,"2","2","furniture_equipment","3","4","2","2","4","1","0"
"4","4",4042,24,"5","2","car_new","3","4","2","2","3","1","0"
"4","4",926,12,"1","2","other","3","1","2","2","2","1","0"
"4","4",2463,24,"2","2","other","3","4","2","2","4","1","0"
"4","4",2058,24,"1","1","electronics_appliances","3","3","2","2","1","1","0"
"4","4",1240,12,"5","1","furniture_equipment","3","5","2","2","2","1","0"
"4","4",6842,24,"5","2","car_new","3","3","2","2","3","1","0"
"4","2",1538,6,"1","4","repairs","3","2","2","2","2","1","0"
"2","4",3878,24,"2","3","other","3","2","2","2","1","1","0"
"2","2",3832,30,"1","2","car_used","3","2","2","2","4","1","0"
"4","2",3186,15,"4","3","other","3","4","2","1","2","1","0"
"2","2",2896,24,"2","3","furniture_equipment","3","2","2","2","3","1","0"
"4","2",1819,36,"1","4","repairs","2","3","2","3","3","1","1"
"4","2",5943,24,"5","3","furniture_equipment","3","2","2","2","2","1","1"
"4","4",7127,36,"1","2","car_used","3","2","2","1","2","1","1"
"4","2",518,6,"1","1","furniture_equipment","3","3","2","2","2","1","0"
"2","2",2930,12,"1","1","furniture_equipment","3","4","2","2","2","1","0"
"4","2",1505,18,"1","4","furniture_equipment","3","3","2","3","3","1","0"
"4","4",2238,18,"1","3","furniture_equipment","3","3","2","2","2","1","0"
"3","2",1881,12,"1","3","furniture_equipment","3","3","2","1","2","1","0"
"1","4",1880,18,"1","2","furniture_equipment","3","4","2","2","4","1","0"
"1","2",2389,18,"1","3","furniture_equipment","2","2","2","2","2","1","0"
"4","4",3380,4,"1","1","other","3","4","2","2","2","1","0"
"2","2",1670,9,"1","3","furniture_equipment","3","2","2","2","2","1","1"
"4","4",1544,4,"1","1","furniture_equipment","3","4","2","2","3","1","0"
"2","2",1715,30,"5","3","furniture_equipment","3","3","2","2","2","1","0"
"3","4",1347,10,"5","2","furniture_equipment","3","4","2","2","3","1","0"
"2","2",1007,12,"4","1","other","3","3","2","2","4","1","0"
"4","4",1402,12,"3","3","car_used","3","4","2","1","2","1","0"
"2","2",2002,12,"1","2","other","3","4","2","1","3","1","0"
"4","4",2096,12,"1","1","repairs","3","4","2","2","3","1","0"
"4","2",1101,12,"1","1","other","3","3","2","2","4","1","0"
"4","3",2764,33,"1","3","travel","3","3","2","2","2","1","0"
"2","0",8358,48,"3","3","other","3","2","2","2","2","1","0"
"4","2",5433,24,"5","2","car_new","3","1","2","1","2","1","0"
"2","2",1410,14,"3","1","travel","3","5","2","2","4","1","0"
"4","4",3485,20,"5","1","other","3","2","2","2","1","1","0"
"4","4",3850,18,"1","3","car_new","3","4","2","2","3","1","0"
"2","2",7408,60,"2","2","other","3","2","2","2","2","1","1"
"3","2",1377,24,"2","4","furniture_equipment","3","5","2","3","2","1","0"
"4","4",362,6,"2","3","other","3","3","2","2","2","1","0"
"3","2",1330,12,"1","1","other","3","2","2","2","3","1","0"
"2","2",7966,26,"1","3","car_new","3","2","2","2","3","1","0"
"2","1",3496,30,"4","3","car_used","2","3","2","2","3","1","0"
"2","2",6948,36,"1","3","car_new","3","3","2","1","3","1","0"
"1","2",3446,36,"1","3","car_used","3","5","2","2","3","1","1"
"1","2",7174,42,"5","3","furniture_equipment","3","4","2","2","2","1","1"
"1","1",1546,24,"1","3","furniture_equipment","1","4","2","1","3","3","1"
"1","2",741,12,"2","2","electronics_appliances","3","1","2","2","2","1","1"
"1","2",7865,12,"1","4","car_used","3","5","2","3","3","1","1"
"1","2",2910,24,"1","4","car_new","3","4","2","3","3","1","0"
"1","4",5302,18,"1","4","other","3","5","2","3","3","1","0"
"1","2",3620,36,"1","2","car_used","3","3","2","2","3","3","0"
"2","2",3017,12,"1","1","car_used","3","2","2","1","2","1","0"
"1","2",1657,12,"1","1","car_used","3","3","2","2","3","1","0"
"1","4",1164,8,"1","4","business","1","5","2","3","3","1","0"
"1","1",1193,24,"1","4","other","3","1","2","1","2","2","1"
"1","2",708,12,"1","2","car_used","3","3","2","2","3","3","0"
"1","4",571,21,"1","1","other","3","5","2","2","3","1","0"
"1","2",2522,30,"1","2","furniture_equipment","3","5","2","2","3","3","0"
"1","2",8229,36,"1","2","car_new","3","3","2","2","3","1","1"
"4","4",2028,24,"1","2","car_used","3","4","2","2","3","1","0"
"1","2",1374,6,"5","2","other","3","1","2","2","2","1","0"
"1","2",1289,12,"1","2","car_used","3","3","2","2","3","3","0"
"1","2",2712,36,"1","2","car_used","1","5","2","2","3","1","1"
"2","3",1050,6,"1","2","car_used","2","1","1","2","3","1","0"
"1","4",609,6,"1","2","other","3","4","2","2","2","1","0"
"2","2",836,12,"2","2","other","1","2","2","2","2","1","1"
"1","2",2577,12,"1","3","car_used","3","3","2","2","1","1","0"
"1","2",1620,12,"1","2","car_used","3","3","2","2","2","2","0"
"1","2",6579,24,"1","4","car_new","3","1","2","3","3","1","0"
"1","2",1893,12,"1","2","other","3","3","2","2","2","3","0"
"1","4",10623,30,"1","4","car_new","3","5","2","3","3","1","0"
"1","2",2249,18,"2","3","other","3","4","2","2","3","1","0"
"2","4",958,12,"1","1","other","3","4","2","2","3","1","0"
"4","2",9277,24,"5","4","car_new","3","3","2","3","1","1","0"
"4","4",6314,24,"1","4","business","1","1","2","2","3","2","0"
"1","2",3590,12,"1","2","car_used","3","3","2","2","3","2","0"
"1","4",6615,24,"1","4","car_new","3","1","2","3","3","1","0"
"4","4",1582,18,"4","3","furniture_equipment","3","5","2","2","3","1","0"
"1","2",2578,12,"1","4","car_used","3","1","2","3","2","1","0"
"1","2",7882,42,"1","2","car_used","3","4","2","3","3","3","0"
"1","2",4169,24,"1","2","car_used","3","3","2","2","3","1","0"
"1","2",3249,36,"1","4","other","1","4","2","3","3","1","0"
"1","4",2246,12,"1","2","car_used","3","5","2","2","3","1","1"
"1","4",1797,13,"1","2","travel","1","2","2","2","3","1","0"
"1","4",4272,20,"1","2","car_used","3","5","2","2","2","1","0"
"1","4",2348,36,"1","2","car_used","3","3","2","2","4","1","0"
"1","4",6419,24,"1","4","car_new","3","5","2","3","2","1","0"
"1","4",6143,48,"1","4","car_new","2","5","2","3","2","1","1"
"2","3",2503,30,"2","2","travel","2","5","2","2","3","1","0"
"2","2",2622,18,"2","3","travel","3","3","2","2","3","1","0"
"2","2",4351,24,"5","2","car_used","3","3","2","2","2","1","0"
"2","2",368,6,"5","2","furniture_equipment","3","5","2","2","3","1","0"
"4","4",2424,24,"5","2","furniture_equipment","3","5","2","2","3","1","0"
"2","3",6681,48,"5","4","travel","3","3","2","3","3","1","0"
"2","4",1216,24,"2","4","furniture_equipment","1","2","2","2","3","1","1"
"2","2",753,6,"1","1","furniture_equipment","3","3","2","2","2","3","0"
"2","2",2576,7,"1","1","furniture_equipment","3","3","1","2","3","3","0"
"2","2",590,6,"1","1","furniture_equipment","3","2","1","2","4","1","0"
"2","2",1414,8,"1","1","furniture_equipment","3","3","1","2","3","3","0"
"2","2",2329,7,"1","1","furniture_equipment","3","2","2","2","2","3","0"
"2","4",882,13,"1","1","furniture_equipment","3","2","2","2","3","3","0"
"2","2",2101,13,"1","2","furniture_equipment","3","2","2","2","2","3","0"
"2","2",1301,18,"1","1","furniture_equipment","3","5","2","2","4","3","0"
"2","2",760,8,"1","1","furniture_equipment","3","4","2","2","2","3","0"
"2","2",625,12,"1","1","furniture_equipment","1","2","2","2","4","3","0"
"3","4",1323,6,"2","3","other","3","5","2","2","1","1","0"
"2","4",1795,18,"1","1","furniture_equipment","1","5","2","1","2","3","0"
"2","1",1048,10,"1","1","furniture_equipment","2","3","2","2","3","1","0"
"2","3",7057,20,"5","2","car_new","1","4","2","1","3","1","0"
"1","2",2214,12,"1","2","furniture_equipment","3","3","2","2","3","1","0"
"2","1",3990,36,"5","4","electronics_appliances","1","2","2","2","2","1","0"
"1","2",1282,24,"2","3","furniture_equipment","3","3","2","2","2","1","1"
"4","2",10144,60,"2","1","furniture_equipment","3","4","2","2","2","1","0"
"1","2",1168,12,"1","1","other","3","3","2","2","4","1","0"
"2","2",454,6,"1","2","electronics_appliances","3","2","2","2","4","1","0"
"4","3",3594,15,"1","2","car_new","3","2","2","2","2","1","0"
"4","2",1768,12,"1","1","car_used","3","3","2","1","3","1","0"
"4","3",15653,60,"1","3","furniture_equipment","3","4","2","2","3","1","0"
"3","3",2247,12,"1","3","other","2","3","2","2","2","1","0"
"4","2",1413,24,"1","2","furniture_equipment","3","3","2","2","4","1","0"
"2","4",4576,45,"2","3","car_new","3","1","2","2","3","1","0"
"1","4",1231,24,"4","2","furniture_equipment","3","5","2","1","2","1","0"
"1","2",8335,36,"5","4","car_new","3","5","2","3","3","1","1"
"2","4",5800,36,"1","3","car_new","3","3","2","2","3","1","0"
"1","1",7685,48,"1","3","travel","3","4","2","1","2","3","1"
"4","2",3757,24,"1","4","other","3","5","2","3","2","2","0"
"1","4",3394,42,"1","3","electronics_appliances","3","1","2","2","3","2","0"
"4","4",1244,9,"5","2","repairs","3","5","2","1","2","1","0"
"4","0",2613,36,"1","3","electronics_appliances","3","3","2","2","3","1","0"
"1","2",7476,48,"1","4","repairs","3","4","2","3","3","1","0"
"2","3",6224,48,"1","4","repairs","3","5","2","3","3","1","1"
"3","2",1905,15,"1","3","repairs","3","5","2","1","3","1","0"
"4","3",2993,21,"1","1","car_new","2","3","2","2","3","1","0"
"1","2",4020,24,"1","3","car_used","2","3","2","2","3","1","0"
"2","2",2779,18,"1","3","car_new","3","3","2","1","4","1","0"
"4","2",2782,21,"3","3","other","1","4","2","2","2","1","0"
"4","2",1884,12,"1","3","other","3","5","2","2","3","1","0"
"4","4",11054,36,"5","3","car_new","3","3","2","2","3","1","0"
"2","3",9157,60,"5","4","furniture_equipment","3","3","2","3","3","1","0"
"2","1",9283,42,"1","4","car_new","1","1","2","3","3","1","0"
"4","2",6527,60,"5","4","other","3","3","2","3","3","1","0"
"1","2",5493,36,"1","4","car_new","3","5","2","3","3","1","0"
"4","4",1149,18,"4","1","furniture_equipment","3","3","2","2","3","1","0"
"2","2",1308,15,"1","3","electronics_appliances","3","5","2","2","3","1","0"
"4","2",1736,12,"1","1","car_used","3","4","2","2","2","1","0"
"4","2",3059,12,"4","1","furniture_equipment","3","4","2","2","1","1","0"
"1","2",2996,24,"5","3","car_used","3","3","2","2","4","1","1"
"4","4",5507,24,"1","4","electronics_appliances","3","5","2","3","3","1","0"
"2","2",1199,9,"1","2","repairs","3","4","2","2","2","1","0"
"2","2",14555,6,"5","2","other","3","1","2","2","3","1","1"
"1","0",950,15,"1","3","other","3","5","2","1","3","1","1"
"1","4",1199,24,"1","3","other","3","5","2","2","3","1","1"
"2","4",2820,36,"1","3","other","3","2","2","2","1","1","1"
"2","2",3060,48,"1","1","furniture_equipment","3","4","2","2","3","1","1"
"1","2",2600,18,"1","4","furniture_equipment","3","3","2","3","3","1","1"
"2","4",4933,39,"1","1","furniture_equipment","3","4","2","2","3","3","1"
"2","1",1437,9,"2","4","other","3","4","2","2","3","1","1"
"1","2",1217,18,"1","1","electronics_appliances","3","3","2","2","4","1","1"
"1","2",9271,36,"1","3","other","3","4","2","2","3","1","1"
"1","3",2145,36,"1","3","travel","3","4","2","2","3","1","1"
"2","3",4297,18,"1","4","car_used","3","5","2","2","1","1","1"
"1","4",3384,6,"1","1","car_used","3","3","2","1","1","1","1"
"1","3",1024,24,"1","1","furniture_equipment","2","2","2","2","4","1","1"
"2","1",433,6,"4","2","repairs","1","2","2","1","2","1","1"
"4","2",2397,24,"3","3","furniture_equipment","1","5","2","2","3","1","1"
"2","3",1512,15,"4","2","electronics_appliances","2","3","2","2","4","1","1"
"2","0",4241,24,"1","1","travel","3","3","2","2","3","1","1"
"3","2",2327,15,"1","1","furniture_equipment","3","2","2","2","2","1","1"
"1","1",6872,24,"1","2","car_used","1","2","2","2","1","1","1"
"2","0",1953,36,"1","4","travel","3","5","2","3","3","1","1"
"3","2",2864,18,"1","1","car_used","3","3","2","2","3","1","1"
"3","4",2319,21,"1","3","repairs","3","2","2","1","1","1","1"
"3","2",947,24,"1","4","other","1","4","2","3","3","1","1"
"1","2",1381,24,"5","2","other","3","3","2","2","2","1","1"
"1","2",1371,24,"5","1","other","3","3","2","1","2","1","1"
"1","2",900,12,"5","3","other","3","3","2","2","4","1","1"
"1","2",1207,24,"1","2","other","3","2","2","1","2","1","1"
"2","0",2278,18,"2","3","other","3","2","2","2","2","1","1"
"1","3",6836,60,"1","4","travel","3","5","2","2","3","1","1"
"2","2",15672,48,"1","3","travel","3","3","2","2","3","1","1"
"1","2",3190,18,"1","1","furniture_equipment","3","3","2","2","2","1","1"
"2","1",5129,9,"1","4","car_new","1","5","2","3","2","1","1"
"4","3",1808,18,"1","1","car_used","3","4","2","2","2","1","1"
"3","2",1240,10,"2","4","other","3","5","2","3","2","1","1"
"1","2",759,12,"1","1","other","3","4","2","2","3","1","1"
"4","2",1980,9,"1","3","car_used","3","2","2","1","2","2","1"
"2","2",10961,48,"4","4","furniture_equipment","1","4","2","2","3","2","1"
"1","3",6887,36,"1","2","repairs","2","3","2","2","3","1","1"
"1","2",1938,24,"1","2","furniture_equipment","3","2","2","2","1","1","1"
"1","2",1835,21,"1","1","furniture_equipment","3","3","2","2","2","1","1"
"1","4",4843,12,"1","2","other","3","5","2","1","3","2","1"
"2","2",639,12,"1","3","electronics_appliances","3","3","2","2","3","1","1"
"2","2",5951,48,"1","1","furniture_equipment","3","3","2","2","2","1","1"
"2","0",3804,36,"1","3","furniture_equipment","3","3","2","2","2","1","1"
"4","3",7980,36,"5","3","travel","3","2","2","1","3","1","1"
"3","2",4210,36,"1","3","furniture_equipment","3","3","2","2","3","1","1"
"4","2",4611,6,"1","2","car_used","3","2","2","2","2","1","1"
"2","2",11560,24,"1","3","car_new","3","3","2","1","2","1","1"
"4","0",4165,18,"1","3","travel","2","3","2","2","3","1","1"
"2","2",4057,24,"1","3","car_used","3","4","2","2","1","1","1"
"4","1",6458,18,"1","4","other","1","5","2","2","3","1","1"
"4","2",1386,12,"3","2","other","3","3","2","2","2","1","1"
"1","2",1977,36,"5","4","repairs","3","5","2","2","3","1","1"
"2","4",1928,18,"1","1","car_used","3","2","2","2","3","1","1"
"4","2",1123,12,"3","3","car_used","3","3","2","1","2","1","1"
"2","2",11328,24,"1","3","business","1","3","2","2","3","2","1"
"2","4",11938,24,"1","3","business","3","3","2","2","3","2","1"
"2","4",2520,27,"3","2","furniture_equipment","3","3","2","2","3","1","1"
"2","1",14782,60,"2","4","business","1","5","2","3","2","1","1"
"2","2",3031,45,"2","2","furniture_equipment","3","3","2","1","3","3","1"
"1","1",626,12,"1","1","furniture_equipment","1","3","2","2","2","1","1"
"2","4",1935,24,"1","1","travel","3","5","2","2","1","1","1"
"4","2",1533,18,"1","2","car_used","3","2","2","2","4","2","1"
"1","2",3931,48,"1","4","other","3","4","2","3","3","1","1"
"1","1",3349,24,"3","4","car_used","3","2","2","3","3","1","1"
"1","2",3965,42,"1","3","furniture_equipment","3","2","2","2","3","1","1"
"1","2",727,12,"2","4","furniture_equipment","3","2","2","2","4","1","1"
"1","2",4308,48,"1","2","travel","3","2","2","1","2","1","1"
"3","4",1271,15,"5","4","furniture_equipment","3","3","2","3","3","1","1"
"2","2",9398,36,"1","3","car_new","3","2","2","1","4","1","1"
"2","2",951,12,"2","3","car_used","1","2","2","1","2","1","1"
"4","4",7855,36,"1","1","other","2","3","2","2","2","1","1"
"2","4",4249,30,"1","3","other","3","1","2","2","4","1","1"
"1","2",6758,48,"1","3","furniture_equipment","3","3","2","2","2","1","1"
"1","2",1366,9,"1","2","furniture_equipment","3","2","2","1","2","1","1"
"1","1",1358,24,"5","3","business","2","5","2","2","3","1","1"
"1","2",2473,18,"1","3","car_used","3","1","2","2","3","1","1"
"3","0",1337,9,"1","3","furniture_equipment","3","2","2","2","3","1","1"
"1","2",7763,48,"1","4","other","1","5","2","3","3","1","1"
"1","2",3123,24,"1","2","other","3","2","2","2","2","1","1"
"1","4",8065,36,"1","4","repairs","3","3","2","2","2","1","1"
"1","2",2439,24,"1","1","furniture_equipment","3","2","2","2","2","1","1"
"2","2",14027,60,"1","4","other","3","4","2","2","3","1","1"
"1","4",9629,36,"1","3","car_new","3","4","2","2","3","1","1"
"2","3",2064,24,"1","2","car_used","3","1","2","2","2","1","1"
"2","2",12976,18,"1","4","car_new","3","1","2","3","2","1","1"
"4","3",2580,21,"3","1","travel","1","2","2","2","3","1","1"
"2","2",3915,27,"1","3","travel","3","3","2","2","3","1","1"
"1","0",3114,18,"1","2","car_used","3","2","2","1","2","1","1"
"1","4",2124,18,"1","1","car_used","3","3","2","1","2","1","1"
"1","1",1553,18,"1","3","car_used","1","3","2","2","3","1","1"
"1","2",2406,30,"1","1","car_used","3","4","2","1","2","1","1"
"1","0",7119,48,"1","4","car_used","3","3","2","3","3","1","1"
"1","4",691,12,"1","2","other","3","5","2","2","3","1","1"
"1","3",4370,42,"1","2","furniture_equipment","1","4","2","2","3","1","1"
"1","1",2746,36,"1","3","car_used","1","5","2","2","3","1","1"
"1","0",4110,24,"1","4","car_used","1","5","2","1","3","1","1"
"1","2",2462,18,"1","3","car_used","3","3","2","2","3","1","1"
"1","2",1282,12,"1","3","car_used","3","3","2","1","2","1","1"
"1","0",4605,48,"1","4","car_new","3","5","2","3","3","1","1"
"1","4",6331,48,"1","4","car_new","3","5","2","3","3","1","1"
"1","1",3552,24,"1","3","car_used","1","4","2","2","3","1","1"
"1","1",697,12,"1","3","other","1","2","2","2","3","1","1"
"1","2",1442,24,"1","3","other","3","4","2","1","2","1","1"
"1","0",5293,27,"1","2","travel","3","1","2","2","3","1","1"
"1","3",3414,21,"1","2","repairs","2","2","2","2","3","1","1"
"1","2",10297,48,"1","4","car_new","3","4","2","3","3","1","1"
"1","2",1372,12,"1","3","other","3","4","2","2","1","1","1"
"1","4",2625,16,"1","2","other","3","5","1","1","3","3","1"
"2","2",959,9,"1","3","car_used","1","3","2","2","2","1","1"
"2","2",1246,24,"1","1","other","1","2","2","2","3","1","1"
"2","2",888,12,"1","3","other","1","5","2","2","3","1","1"
"2","2",12389,36,"5","4","other","1","3","2","3","3","1","1"
"2","1",6850,15,"2","2","other","2","1","2","2","3","1","1"
"4","2",2210,10,"1","1","car_used","3","3","2","1","3","1","1"
"4","1",7485,30,"5","1","car_new","1","1","2","2","2","1","1"
"1","1",1442,18,"1","4","other","1","4","2","3","3","1","1"
"2","4",4746,45,"1","2","furniture_equipment","1","2","2","2","3","1","1"
"2","2",2767,21,"2","3","travel","3","5","2","1","1","1","1"
"2","2",3441,30,"2","3","car_used","1","3","2","1","2","2","1"
"4","2",6761,18,"5","3","other","2","3","2","1","3","1","1"
"2","2",1331,12,"1","3","furniture_equipment","3","2","2","2","3","1","1"
"1","2",3234,24,"1","1","car_used","3","2","2","1","2","1","1"
"2","2",9960,48,"1","3","car_used","1","2","2","2","2","1","1"
"4","3",8648,24,"1","3","travel","1","2","2","2","3","1","1"
"1","1",1647,21,"5","2","other","1","3","2","2","3","1","1"
"4","2",4844,48,"1","3","travel","3","1","2","1","3","1","1"
"1","0",11816,45,"1","3","travel","3","5","2","1","3","1","1"
"1","2",448,6,"1","2","repairs","3","2","2","2","2","1","1"
"1","2",11998,30,"1","4","electronics_appliances","1","2","2","2","1","1","1"
"1","2",14896,6,"1","4","other","1","5","2","2","3","1","1"
"2","2",2762,12,"5","2","car_used","3","5","2","2","2","1","1"
"1","2",3386,12,"1","4","car_new","3","5","2","3","3","1","1"
"2","2",2039,24,"1","2","furniture_equipment","3","2","2","2","4","1","1"
"4","3",2169,18,"1","3","travel","3","3","2","2","4","1","1"
"2","4",5096,48,"1","3","car_used","3","3","2","2","2","1","1"
"1","2",6999,48,"1","1","furniture_equipment","3","4","2","2","4","3","1"
"1","2",8978,14,"1","2","other","3","5","1","2","1","1","1"
"1","2",976,18,"1","3","other","3","2","2","2","2","1","1"
"2","2",2718,24,"1","2","other","3","3","2","1","2","1","1"
"2","2",12579,24,"1","4","car_new","3","5","2","3","2","1","1"
"1","2",7511,18,"5","2","car_new","3","5","2","3","3","1","1"
"1","4",3966,18,"1","1","other","1","5","2","1","2","1","1"
"1","2",1987,24,"1","1","furniture_equipment","3","3","2","1","3","1","1"
"1","2",2303,24,"1","1","other","3","5","2","2","3","2","1"
"4","4",12680,21,"5","4","other","3","5","2","3","3","1","1"
"2","2",6468,12,"5","4","furniture_equipment","3","1","2","2","3","1","1"
"1","2",6350,30,"5","2","car_used","3","5","2","2","3","1","1"
